Level_Code,University,City,Course,Faculty,Int_Fees,Local_Fees,Free TAFE,Job Trainer,Concession,Government subsidised fee,Non-subsidised fee,Currency,Currency_Time,Course_Delivery_Mode,Duration,Duration_Time,Full_Time,Part_Time,Prerequisite_1,Prerequisite_2,Prerequisite_3,Prerequisite_1_grade_1,Prerequisite_2_grade_2,Prerequisite_3_grade_3,Website,Course_Lang,Availability,Description,Career_Outcomes/path,Country,Online,Offline,Distance,Face_to_Face,Blended,Remarks
VOC,Melbourne Polytechnic,,Certificate III in Cabinet Making,,,,,,1315,5950,23900,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/cabinet-making/furniture-making-apprenticeship/,English,A,"Hands on work in a dynamic field .Construct an exciting career with Melbourne Polytechnic’s Certificate III in Cabinet Making. You could mix technical skills and creativity to earn excellent money in a field with government-predicted stable future growth. Melbourne Polytechnic’s course is industry focused and outcomes driven, and may lead to a variety of careers in furniture making. Many cabinet makers work for themselves, so if you’ve ever wanted to own your own business and love to work with your hands, cabinet making could be the career for you. .Assemble your skills with practical experience .Melbourne Polytechnic offers a unique industry-focused approach to our cabinet making course. We’ve been teaching cabinet making for almost 100 years and our students have earned many industry awards, including accolades from the Furnishing Industry of Australia. You’ll learn to examine drawings, determine specifications, work with different materials, cut and shape wood, make fittings, assemble parts, refurbish furniture and much more. Our qualified teachers have a wealth of industry experience and connections, and will guide you through your apprenticeship studies to lead you into a fulfilling and varied career in cabinet making. Melbourne Polytechnic has designed this course alongside industry partners as an off-the-job component to becoming a qualified tradesperson.",,Australia,,,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Engineering,Engineering,,,250,250,2025,9500,28600,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/engineering/fabrication/,English,A,"Level up your metal career .If working in a metal trade and thinking about taking your career to the next level, Melbourne Polytechnic’s Certificate IV in Engineering (Fabrication Stream) is for you.  Metal fabricators and welders are in demand in Australia, with a shortage of metal workers in Victoria, where only 44% of vacancies were filled in 2018. Metal fabrication is a highly transferable skill, crossing multiple industries. You might find yourself performing a range of tasks, including metal fabrication, forging, founding, structural steel erection, electroplating, metal spinning, metal polishing, sheet metal work and welding. .Choose to study with the pros .Study at Melbourne Polytechnic and build your career on our reputation for quality training and industry connections. Our industry-experienced teachers will help you focus on workmanship, instil a sound work ethic and develop skills that are in demand in the industry. Melbourne Polytechnic has been named a Top Welding Training Organisation by Weld Australia (WA). We have strong links with Weld Australia and the Australian Stainless Steel Development Association (ASSDA), so you know that the skills that you’re learning are the ones you’ll need on the job.",Foreman/ Leading Hand/ Estimator,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Racing (Trackwork Rider),Education,,,,,1155,5150,12300,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/racing-trackwork-rider/,English,A,"Kickstart your horse racing career .Set yourself up for a specialised career in horse racing with Melbourne Polytechnic’s Certificate III in Racing (Trackwork Rider). Second only to the USA in thoroughbred horse population, Australia is a world leader when it comes to breeding, caring, grooming and exercising thoroughbreds. Melbourne Polytechnic is Victoria’s top provider of equine studies.  In this course, you’ll develop the specialised skills and knowledge to flourish in this exciting industry. .Learn specialised equine skills from industry experts .Melbourne Polytechnic’s Certificate III in Racing (Trackwork Rider) is a nationally accredited course that will help you turn your passion for horses into a specialised trade. With the guidance of industry-experienced teachers, you’ll gain the skills to lead the field in the dynamic world of horse racing. Using a mixture of theoretical and practical exercises, you’ll learn about horse anatomy and physiology, horse handling and care, horse riding, track work and basic health and first aid for thoroughbreds. Melbourne Polytechnic students will train at the Northern Lodge Training Centre, our 320-hectare farm located just 40 minutes north of Melbourne in Eden Park. You’ll also gain industry insider knowledge about the equine and racing industry through our industry partnerships, including the Melbourne Racing Club Foundation.",Trackrider,Australia,Yes,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate I in Food Processing,Business & Commerce & Finance & Accounting,,,,,395,1350,2100,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-i/food-processing/work-education/,English,A,"Develop your food production and work skills .Melbourne Polytechnic offers a unique opportunity to specialise in food processing with the enrolment in FBP10117 Certificate I in Food Processing, an option as part of their 22302VIC  Certificate I in Work Education (Hospitality Stream). If you are a young person with an intellectual disability, Melbourne Polytechnic’s Certificate I in Work Education (Hospitality Stream) will help you find your path to your dream career in hospitality. Join a booming industry that is predicted to grow by another 12% in the next five years. You’ll learn in the classroom and on the job through work placement opportunities. You’ll work in Melbourne Polytechnic’s commercial kitchen, assist in catering for functions and prepare food for sale in our produce shop. Personal management, teamwork and communication skills will set you up for positive outcomes and a strong future in the hospitality workforce. .State-of-the-art facilities and real-world skills .At Melbourne Polytechnic, our qualified careers advisors and educators will develop a customised program tailored to your skills and goals. You will improve your numeracy, literacy, language and teamwork skills, alongside developing work-ready skills for the food processing sector. You will learn about cleaning and maintaining kitchens and equipment, hygiene and food safety, basic food preparation and presentation and venue set-up. Melbourne Polytechnic’s unique industry partnerships offer hospitality field trips - plus, our own industry-standard kitchens have been used by Masterchef and the Great Australian Bake Off.  You’ll have the opportunity to gain real-life experience before you graduate, with 300 hours of practical placement, followed by an evaluation to determine your strengths, weaknesses and future goals. Your teachers will work with you at the end of the program, preparing an action plan to follow once the course is complete and assisting with active job searching. Best of all, class sizes are limited to ten students, so you’ll receive individual attention.",Event Assistant/ Food Production Hand/ Kitchen Hand,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate IV in Cyber Security,Computer Science & Information Technology,12120,,250,250,939,4070,10020,AUD,Years,Normal,1,Years,Yes,,Year 12,IELTS,ATAR ,11,5.5,,https://www.melbournepolytechnic.edu.au/study/certificate-iv/cyber-security/,English,A,"Join the fight against cybercrime .Develop the skills to protect organisations against data breaches and malicious cyber attacks with our 22334VIC Certificate IV in Cyber Security. With cybercrime on the rise, skilled cyber security professionals are in high demand. There are expected to be 26,000 new jobs in ICT security and database and system administration in the next five years. As businesses increasingly depend on technology with more and more devices connected to the internet, you can expect your qualifications to be in demand. .Gain specialised cybersecurity skills .You’ll learn to use a range of tools and procedures to mitigate cyber security threats and minimise network vulnerabilities and risks. Taught by industry-based experts, this technician level qualification helps you gain practical skills you can apply to any workplace. This includes securing a networked PC, networking concepts and protocols, IoT scripting, managing network security, penetration testing and recognising threats, risks and vulnerabilities to cyber security in an organisation. This course is designed to be flexible and cater to both new students and working professionals looking to upskill. If you work in IT and want to take on a new role or change careers, you can study Melbourne Polytechnic's 22334VIC Certificate IV in Cyber Security through night classes and home study depending on what suits you best.",Cybersecurity Analyst/ Cybersecurity Practitioner/ Cybersecurity Incident Response Practitioner,Australia,Yes,Yes,,,Yes,
VOC,Melbourne Polytechnic,,Certificate II in Building and Construction Pre-Apprenticeship,"Architecture, Building & Planning",,,470,470,815,2570,15170,AUD,Years,Normal,20, Weeks,Yes,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-ii/building-and-construction-pre-apprenticeship/carpentry-and-joinery-shopfitting-stairbuilding/,English,A,"Pursue a career in demand .Carpentry and joinery might be Australia’s most common trade, but qualified carpenters and joiners are always in demand as part of a $12 billion industry. If you enjoy working with your hands and have a keen eye for detail, Me;bourne Polytechnic’s Certificate II in Building and Construction (Carpentry & Joinery/Shopfitting/Stairbuilding) offer the skills for a practical career in carpentry with a diverse range of job options for a qualified tradesperson. .Learn a wealth of skills in a practical setting .The Certificate II in Building and Construction (Carpentry) is offered in conjunction with the Certificate II in Building and Construction (Joinery/Shopfitting/Stairbuilding). This combined course will teach you the fundamentals of practical construction projects, including floor frames, wall frames, pitched roofs, window frames and stairs and formwork. Our workshops are second-to-none, as we boast the most technologically advanced building and construction training facilities in Victoria. You’ll learn from teaching staff who are industry-experienced with current, real world knowledge. Melbourne Polytechnic offers progressive teaching techniques and facilities, including full-size, real-to-life working projects and leading edge tools and equipment.",Carpenter/ Labourer/ Joiner/ Shopfitter/ Stairbuilder,Australia,,Yes,,,,
DIP,Melbourne Polytechnic,,Diploma of Agriculture,Agriculture,14000,,,,1960,8915,17065,AUD,Years,Normal,18,Months,Yes,,Year 12,IELTS,ATAR ,11,5.5,,https://www.melbournepolytechnic.edu.au/study/diploma/agriculture/,English,A,"Grow your career in the agriculture industry .Agriculture in Australia is a $60 billion industry responsible for almost 95% of Australia’s food supply. Melbourne Polytechnic’s Diploma of Agriculture, will teach you specialist skills and industry knowledge that are in high demand across Australia to service this growing industry. .Learn in the field from industry experts .Melbourne Polytechnic’s Diploma of Agriculture will train you in vital agricultural business skills and practical techniques, such as budgeting, production planning, climate risk strategies, animal husbandry and long-term crop management. At our fully-equipped Epping campus and Yan Yean working farm training complex, you’ll have the opportunity to work with the latest in agricultural technology. Boasting an expert roster of teachers and industry professionals in sheep and beef production, you'll gain real world, on-farm experience as you study with Victoria’s largest provider of agricultural education.",Stock Manager/ Farm Manager/ Farm Operator,Australia,Yes,Yes,,,Yes,
VOC,Melbourne Polytechnic,,Certificate III in Parks and Gardens,Agriculture,,,,,1480,6435,11935,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/parks-and-gardens/apprenticeship/,English,A,"Build a strong skill set  .Invest in hands-on experience with the Certificate III in Parks and Gardens (Apprenticeship stream). Melbourne Polytechnic offers a course focused on strong technical skills and industry insight, as part of a three-year apprenticeship that will teach you the necessary skills to deliver advanced work practices within parks and gardens across Australia. Public parks and gardens are thriving, with over 6 million visitors to parks around Victoria a year. Learn the skills to maintain parks and gardens, while developing important environmental measures to ensure a healthy future.   .Grow your knowledge and techniques  .At Melbourne Polytechnic, you’ll learn from an array of experienced horticultural trade professionals in purpose-built facilities that simulate a real working environment. Our qualified teachers will share industry-based expertise in the maintenance of public parks, as well as residential and commercial properties. Learn outdoors, on engaging excursions to some of the beautiful parks and gardens around Victoria. Melbourne Polytechnic’s extensive industry connections and partnership with the Nursery and Garden Industry of Victoria, offers the unique experience to apply your new skills at the Melbourne International Flower and Garden Show, granting your qualification immersive experience and a unique credibility.",Community Facility Groundskeeper/ Community Landscape Officer/ Garden Designer/ Groundsperson/ Labourer/ Landscape Gardener,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate III in Landscape Construction,"Architecture, Building & Planning",,,,,1210,5205,10655,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-iii/landscape-construction/apprenticeship/,English,A,"This is the apprenticeship version of the course. For the non-apprenticeship, please go here. .Build skills for a diverse career .Gain new opportunities in an exciting and diverse industry with Melbourne Polytechnic’s Certificate III in Landscape Construction Apprenticeship. Australia has one of the largest and busiest landscaping industries in the world but is facing a shortage in skilled graduates. At Melbourne Polytechnic, our practical, hands-on approach to learning is ideal for helping you nurture skills that can put you on the path to becoming an in-demand landscaper. .Work outdoors in a practical learning environment .You’ll get out of the classroom with a landscape construction apprenticeship course at Melbourne Polytechnic. Enjoy learning in our state-of-the-art horticulture facilities and attend course excursions, in addition to undertaking a formal apprenticeship with your employer. You’ll learn horticultural methodology and the fundamentals of garden design construction and management from experienced and engaged teachers while part of our community. You’ll also have the chance to make industry connections and participate in the Melbourne International Flower and Garden Show.",Community Facility Groundskeeper/ Community Landscape Officer/ Garden Designer/ Groundsperson/ Landscape Gardener/ Landscaping Business Owner/ Landscaping Business Operator,Australia,,Yes,,,,
VOC,Melbourne Polytechnic,,Certificate II in Building and Construction,"Architecture, Building & Planning",,,409,409,774,2609,10159,AUD,Years,Normal,N/A,N/A,,,Year 12,IELTS,ATAR ,,,,https://www.melbournepolytechnic.edu.au/study/certificate-ii/building-and-construction/painting-and-decorating/,English,A,"Create your own path .Set yourself up for a flexible career in painting with a Certificate II in Building and Construction - Painting and Decorating. At Melbourne Polytechnic, we’re leaders in tradie training. Benefit from a practical, hands-on approach to learning, where you’ll get the chance to build your skills in a supportive environment. Painting is part of the national skills shortage, with job openings expected to grow by 37% from 2018 to 2023. A qualification in painting will help secure your future in an in-demand industry. .Flourish with hands-on training .Practice in fully kitted-out painting bays with all the tools and equipment you’ll use on the job. At Melbourne Polytechnic, we offer small class sizes so that every student can thrive with individual attention. Our Painting and Decorating students have a national reputation for excellence, proven by multiple WorldSkills medals and other industry awards. From mixing colours to priming and painting with a rolled, brushed or sprayed paint finish, you’ll have the chance to develop your skills under the guidance of industry experts. You’ll also have the chance to earn your ‘white card’ (Construction Induction Card).",Labourer/ Subcontractor/ Apprentice Painter,Australia,,Yes,,,,
